country,year,scenario,co2_projected
Australia,2033,Moderate Mitigation,322.4369395441171
Australia,2033,Aggressive Mitigation,243.73761472161755
Australia,2034,BAU,431.1834319794689
Australia,2034,Moderate Mitigation,315.9882007532347
Australia,2034,Aggressive Mitigation,231.55073398553668
Australia,2035,BAU,431.52002668852094
Australia,2035,Moderate Mitigation,309.66843673817004
Australia,2035,Aggressive Mitigation,219.97319728625982
Australia,2036,BAU,431.82007025035
Australia,2036,Moderate Mitigation,303.47506800340665
Australia,2036,Aggressive Mitigation,208.97453742194682
Australia,2037,BAU,432.08753178962553
Australia,2037,Moderate Mitigation,297.4055666433385
Australia,2037,Aggressive Mitigation,198.52581055084946
Australia,2038,BAU,432.3259494199041
Australia,2038,Moderate Mitigation,291.4574553104717
Australia,2038,Aggressive Mitigation,188.59952002330698
Australia,2039,BAU,432.53847704754594
Australia,2039,Moderate Mitigation,285.6283062042623
Australia,2039,Aggressive Mitigation,179.16954402214162
Australia,2040,BAU,432.7279260931483
Australia,2040,Moderate Mitigation,279.91574008017705
Australia,2040,Aggressive Mitigation,170.21106682103454
